		+	/	-		TOPIC
174 RT @AmiyrahMartin: Candid Talk About #Parenting With Victoria Alonso - https://t.co/R8mEbSM2ku #Marvel #InfinityWarEvent #AvengersInfinityW»√¨		0	1	0		Marvel
175 RT @Dax_x98: #FBR partyLIKE»œ±RT»Õ??Æ?FOLLOW ALL WHO RT°‚Øﬁ@realDonaldTrump @VP @mike_pence #TheResistance #Resistance #ImpeachTrump #NotMyP»√¨		0	1	0		Trump
176 RT @una_matita_Blu: my polygonal #ironman and #captainamerica designs are available on #Teepublic#marvel #AvengersInfinityWars #AvengersIn»√¨		0	1	0		Marvel
177 RT @MEL2AUSA: Retweet if you will NEVER watch Saturday Night Live again! You are °‚„? correct about SNL being against #Trump @RobSchneider.»√¨		0	0	1		Trump
178 Love y»√Õall BUT @TheRealDaytime just bc @kanyewest is supporting NOT AGRREEING W/everything @realDonaldTrump does do»√¨ https://t.co/cuMJbmbD1F		0	0	1		Trump
179 RT @BestRecipess: Please RT!! #recipes #food #cooking #delicious #cook #recipe Lamb Kofta https://t.co/z1Fx8UsrlR https://t.co/6xZNrKTOm7		0	1	0		Food
180 RT @pdeppisch: @MamaRose2017 @cwpontwit @tkdmike @robbiese7en @45JORDAN @rolandscahill @Popehat @foxandfriends @FoxNews @foxnewspolitics @T»√¨		0	1	0		Game
181 I'm Schema Expert.I've excellent Experience in Google Schema Markup.Contact Us : https://t.co/y51fPSzprk website»√¨ https://t.co/pYJdIoSVnq		1	0	0		University
"182 RT @adjunctprofessr: It's not the 1st time those who hate a free, healthy, wealthy American middle class have tried to return it to a dicta»√¨"		0	1	0		University
183 RT @pollsofpolitics: Do you Approve of @realDonaldTrump's performance as @POTUS???Vote and retweet to spread poll!! #TheResistance #MAGA»√¨		0	1	0		Trump
"184 RT @AmericanGirl815: °‚??Patriots, we MUST stand united! We MUST work together &amp; help President @realDonaldTrump. °‚˜–The #Democrat Party»√Õs onl»√¨"		0	1	0		Trump
185 RT @DeviantArt: We honestly can't imagine who would win in this epic #Avengers and #OnePunchMan crossover battle from @robmichel_art. htt»√¨		1	0	0		Marvel
"186 RT @POTUSPressPool: .@juliemason welcomes @attackerman from @dailybeast on SXM 124 at 3:30 pm ET to discuss #Trump's pick to lead the CIA,»√¨"		0	1	0		Trump
187 Thank you @SettonFarms for sponsoring this reception at the #AFI #Convention. The #pistachios were a hit! #AFIMiami»√¨ https://t.co/jdJs8nOtVn		1	0	0		Football
188 RT @PolticsNewz: McCain: #Trump more interested in appearing tough than in the nation»√Õs values https://t.co/eyYrD95tTf		0	1	0		Trump
189 RT @DeviantArt: We honestly can't imagine who would win in this epic #Avengers and #OnePunchMan crossover battle from @robmichel_art. htt»√¨		1	0	0		Marvel
190 RT @DeviantArt: We honestly can't imagine who would win in this epic #Avengers and #OnePunchMan crossover battle from @robmichel_art. htt»√¨		1	0	0		Marvel
191 RT @mog7546: CORRUPTIONThis bank was UNDER INVESTIGATION UNTIL #TRUMP GOT ELECTED -- and now it's involved in multiple #Kushner dealsBo»√¨		0	1	0		Trump
"192 RT @CarolinaMudcats: We will be wearing these @Brewers inspired hats May 11th, 12th, and 13th as part of Brewers Weekend.The first 1,200»√¨"		0	1	0		Shopping
193 RT @DeviantArt: We honestly can't imagine who would win in this epic #Avengers and #OnePunchMan crossover battle from @robmichel_art. htt»√¨		1	0	0		Marvel
194 RT @TheRebelTV: »√˙Keep #Trump in power or you will have me to deal with!»√œ @KTHopkins is firing on all cylinders in her full speech to @Unite»√¨		0	1	0		Trump
"195 With desserts like that, it's hard to say no. We invite you to fall in the temptation of the Piola desserts....»√¨ https://t.co/fWKBaYsUJo"		1	0	0		Food
"196 RT @adjunctprofessr: Whatever happened to the Awan Brothers?Note from Imran Awan left with the Debbie Wasserman Schultz laptop:""Letters t»√¨"		0	1	0		University
197 RT @jamesmaslow: Who is playing? Let me know your top scores! https://t.co/KUVFalF44s		0	1	0		Game
198 RT @DonnaWR8: @garmac63 @POTUS #MAGA #Trump #KAG #USA Hey ... ME TOO! °‚†ﬁ https://t.co/phmWjAxd9B		0	1	0		Trump
199 Top 30 Fighters In #AvengersInfinityWar Ranked. https://t.co/ltr6NXjank#infintywar #Thanos #infinitywarspoilers»√¨ https://t.co/kNu5qsJfXS		0	1	0		Marvel
200 These hats are spiffy as heck https://t.co/1i5NNnbp7B		1	0	0		Shopping
